time_sec,temp_c
0,25
5,44
10,60
15,72
20,83
25,93
30,100
35,105
40,109
45,112
50,115
55,118
60,120
65,122
70,125
75,127
80,129
85,131
90,133
95,135
100,138
105,140
110,143
115,146
120,150
125,155
130,160
135,166
140,171
145,177
150,183
155,190
160,196
165,201
170,207
175,212
180,218
185,222
190,225
195,230
200,232
205,234
210,235
215,233
220,231
225,226
230,218
235,205
240,183
